sku,nombre,precio,stock,categoria,descripcion,imagen_url,detalles
AUD-AIR-GEN4,Apple AirPods 4 (3ra gen estilo nuevo),500,200,Electrónica,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783612507602-AUD-AIR-GEN4.webp,
BAL-ADI-FIFA,Balón de fútbol Adidas Trionda FIFA World Cup 26,800,299,Deportes / Fitness,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783614659295-BAL-ADI-FIFA.webp,
BAT-COC-30PC,Batería de cocina 30 piezas rosa con cubiertos y cuchillos,3200,36,Cocina,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783614663332-BAT-COC-30PC.webp,
0008,Bocadillo de Chocolate Con Higo y Durazno,176.8,100,Dulces  típicos,"Delicioso bocadillo de chocolate con higo y durazno disponible en presentaciones de 160 gr. y 500 gr.

Producto 100% Natural

Este producto puede ser vendido por mayoreo, por caja, contáctanos en el siguiente enlace para mayor información:

https://wa.me/message/REAMHAFI37VJM1﻿",https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1783967491623-0008.webp,
CAM-NEON-001,Caminadora eléctrica plegable Neon,11500.69,100,Deportes / Fitness,"Caminadora eléctrica plegable marca Neon, color negro, con pantalla digital, portavasos, ruedas para transporte",https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1783611283110-cam-neon-001.webp,
LIMP-CER-GEL,CeraVe Gel Limpiador Espumoso 236ml,540.01,200,Belleza / Cuidado personal,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783614664132-LIMP-CER-GEL.webp,
CUCH-TRAM-001,"Cuchillo de chef Tramontina Premium 10""",159.5,400,Cocina,"Cuchillo de chef Tramontina Premium 10 pulgadas, mango blanco, acero inoxidable, certificación NSF, Made in Brazil",https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1783610872811-cuch-tram-001.webp,
EFCY,Dddf,20,20,Accesorios,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783708710915-EFCY.webp,
ESCR-MAD-001,Escritorio con estantería lateral madera y metal,3500.99,100,Muebles,"Escritorio estilo industrial, tablero de madera natural, estructura metálica negra, estantería lateral con 3 niveles",https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1783611697453-escr-mad-001.webp,
PROT-EUC-50,Eucerin Protector Solar Oil Control SPF 50+ Toque Seco,360,124,Belleza / Cuidado personal,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783614663665-PROT-EUC-50.webp,
KIT-ALS-3EN1,Kit herramientas eléctricas Alsonew 3 en 1 rojo,2600,50,Herramientas,"Set: amoladora angular, taladro percutor y llave de impacto Alsonew, baterías Li-ion, discos, brocas, cubos, bolsa de lona roja",https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1783611784260-kit-als-3en1.webp,
KIT-FAB-48V,Kit herramientas eléctricas FabFurSo 48V (3 en 1),1800.59,460,Herramientas,"Set: amoladora angular, taladro percutor y llave de impacto inalámbricos 48V, 4 baterías Li-ion, discos, brocas, cubos, bolsa, guantes",https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1783611032284-kit-fab-48v.webp,
LINT-TAC-USB,Linterna táctica recargable USB-C con COB lateral,450.01,4,Herramientas / Hogar,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783612512250-LINT-TAC-USB.webp,
LLAV-HEC-20V,Llave de impacto inalámbrica Hecelo XR 20V Brushless,1450,78,Herramientas,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783612511217-LLAV-HEC-20V.webp,
NSW-MK8D-NEON-001,Nintendo Switch + Mario Kart 8 Deluxe,7000,14,Gaming,Bundle Nintendo Switch con Joy-Con Neon Azul/Rojo + dock + juego Mario Kart 8 Deluxe físico para Nintendo Switch.,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1784223375107-nsw-mk8d-neon-001.webp,"{""peso_g"":850,""tallas"":[],""colores"":[""Neon Azul/Rojo""],""variantes"":[{""color"":""Neon Azul/Rojo"",""stock"":0,""talla"":""""}],""dimensiones"":{""alto"":""5"",""ancho"":""9"",""largo"":""23""},""imagenes_extra"":[""https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/extra-1784223379815-2ejy85fqsf4.webp"",""https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/extra-1784223380492-ddrne5lcfd9.webp"",""https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/extra-1784223381492-bjqe6hpcrmn.webp""]}"
PERF-NAU-VOY,Perfume Nautica Voyage EDT para hombre,470,118,Belleza / Fragancias,"Eau de Toilette Nautica Voyage para hombre, frasco cuadrado azul cielo con tapa plateada, fragancia acuática",https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1783611630451-perf-nau-voy.webp,
S212EWS,pinzas para jardineria,230,328,Herramientas,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783096154181-S212EWS.webp,
POLO-AZM-001,Polo manga corta para hombre azul marino,259,300,Ropa,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1783610194380-polo-azm-001.webp,
CEL-SAM-A16,Samsung Galaxy A16 5G,10200,59,Electrónica,"Smartphone Samsung Galaxy A16 5G, pantalla Super AMOLED, triple cámara trasera, color negro azulado",https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1783611552663-cel-sam-a16.webp,
SMART-SAM-FIT3,Samsung Galaxy Fit3 smartband / smartwatch,5000,400,Electrónica,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783614663063-SMART-SAM-FIT3.webp,
SART-ANT-3PC,Set sartenes antiadherentes con espátula (3 pzas),1200,350,Cocina,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783612511941-SART-ANT-3PC.webp,
TAB-PAD9-1TB,"Tablet 11"" 16GB+1TB Android 15 — Pad 9 Ultra",2200,176,Electrónica,"Tablet 11 pulgadas, 16GB RAM, 1TB almacenamiento, Android 15, batería 12000mAh, WiFi+5G, Full HD; incluye funda, teclado, ratón, protector, cables y audífonos. Color negro",https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1783611374112-tab-pad9-1tb.webp,
TAB-HUA-SE11,"Tablet Huawei MatePad SE 11"" 8+128GB con M-Pen lite",3699.99,200,Electrónica,"Tablet 11 pulgadas, 8GB RAM, 128GB almacenamiento, cámara trasera 8MP, incluye stylus M-Pen lite, color azul cielo",https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/1783610946880-tab-hua-se11.webp,
TEN-NIK-CRT,Tenis Nike Court Royale blanco/negro para hombre,800,130,Calzado,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783612511614-TEN-NIK-CRT.webp,
SSS45R,Ventilador de turbina,1600,500,,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783096155095-SSS45R.webp,
